,loss
0,34.24614334106445
1,0.20925578474998474
2,0.15771926939487457
3,0.13322226703166962
4,0.11582844704389572
5,0.10298127681016922
6,0.09382466971874237
7,0.08231639117002487
8,0.07745418697595596
9,0.07085153460502625
10,0.06519820541143417
11,0.058935463428497314
12,0.05538434162735939
13,0.05111135542392731
14,0.04669325053691864
15,0.042122695595026016
16,0.03918147087097168
17,0.036277223378419876
18,0.033720653504133224
19,0.03197551146149635
20,0.029223686084151268
21,0.027752304449677467
22,0.02485547959804535
23,0.024442048743367195
24,0.02269810624420643
25,0.02206333540380001
26,0.019774608314037323
27,0.01866772770881653
28,0.017711181193590164
29,0.017435410991311073
30,0.01669229194521904
31,0.017032181844115257
32,0.015314766205847263
33,0.015147274360060692
34,0.014720703475177288
35,0.013915876857936382
36,0.01319841854274273
37,0.013167966157197952
38,0.012520155869424343
39,0.012425865978002548
40,0.011678860522806644
41,0.011530611664056778
42,0.011338484473526478
43,0.011395126581192017
44,0.010721473954617977
45,0.01066925935447216
46,0.010614949278533459
47,0.010281403549015522
48,0.010222661308944225
49,0.010174384340643883
50,0.009519499726593494
51,0.009435304440557957
52,0.009628578089177608
53,0.00940384715795517
54,0.009100924246013165
55,0.00916174054145813
56,0.00862603634595871
57,0.008628308773040771
58,0.008382047526538372
59,0.008449878543615341
60,0.008293633349239826
61,0.008339842781424522
62,0.008430222049355507
63,0.008118195459246635
64,0.008144845254719257
65,0.008011776953935623
66,0.00749703636392951
67,0.007971087470650673
68,0.007575987372547388
69,0.00764752272516489
70,0.007285733241587877
71,0.007381526753306389
72,0.007229262962937355
73,0.0072547453455626965
74,0.007064860314130783
75,0.007113526575267315
76,0.006800726521760225
77,0.0067741647362709045
78,0.006405917927622795
79,0.006442478392273188
80,0.006723965518176556
81,0.006150641944259405
82,0.006000635214149952
83,0.006173051428049803
84,0.005857203621417284
85,0.006070735398679972
86,0.00598424905911088
87,0.005907456390559673
88,0.005790452007204294
89,0.005612851586192846
90,0.00556119903922081
91,0.005423694383352995
92,0.005483957938849926
93,0.005477274768054485
94,0.005604477133601904
95,0.005452226847410202
96,0.005416486877948046
97,0.005371036008000374
98,0.005113191436976194
99,0.00497479410842061
100,0.005093691870570183
101,0.00518472446128726
102,0.004754220601171255
103,0.00510456133633852
104,0.0047824447974562645
105,0.004757353104650974
106,0.0049702865071594715
107,0.0051283868961036205
108,0.004596633370965719
109,0.00479180458933115
110,0.0048669688403606415
111,0.0046412586234509945
112,0.004638261627405882
113,0.0045287529937922955
114,0.004706609062850475
115,0.004279552027583122
116,0.004639384336769581
117,0.004500270821154118
118,0.004236423876136541
119,0.004350718576461077
120,0.004159456584602594
121,0.00408532377332449
122,0.004313829820603132
123,0.0039501371793448925
124,0.0038796139415353537
125,0.003948291763663292
126,0.003827309003099799
127,0.003777341218665242
128,0.0036419860552996397
129,0.0039095692336559296
130,0.0035488707944750786
131,0.0036180387251079082
132,0.0038316347636282444
133,0.003460532985627651
134,0.0036936127580702305
135,0.0035281297750771046
136,0.0035431243013590574
137,0.003359339665621519
138,0.003359477734193206
139,0.0033244641963392496
140,0.003395388601347804
141,0.003230390837416053
142,0.00341407535597682
143,0.0033609846141189337
144,0.0032248899806290865
145,0.003039045725017786
146,0.003271533874794841
147,0.0030864658765494823
148,0.003304046345874667
149,0.003291937056928873
150,0.0031805941835045815
151,0.0030823347624391317
152,0.0031941442284733057
153,0.003124440787360072
154,0.003015350317582488
155,0.0031541590578854084
156,0.0029523218981921673
157,0.002957302378490567
158,0.002913860371336341
159,0.00301833963021636
160,0.0029224278405308723
161,0.0029824429657310247
162,0.002959510777145624
163,0.002999706659466028
164,0.00300925993360579
165,0.002989933593198657
166,0.0028403063770383596
167,0.002698419848456979
168,0.002955824602395296
169,0.00269983964972198
170,0.0029313471168279648
171,0.0028328599873930216
172,0.002739295829087496
173,0.0027789429295808077
174,0.002698552794754505
175,0.002807972487062216
176,0.0027224316727370024
177,0.002818919252604246
178,0.00276323314756155
179,0.0027934641111642122
180,0.002660428872331977
181,0.0026109563186764717
182,0.0026995460502803326
183,0.002741728676483035
184,0.0026812897995114326
185,0.0026498548686504364
186,0.0027748013380914927
187,0.002664043568074703
188,0.00262591359205544
189,0.0024883795995265245
190,0.002620129380375147
191,0.002536344574764371
192,0.0026525689754635096
193,0.002555200830101967
194,0.002550663659349084
195,0.0024663694202899933
196,0.0025994295720010996
197,0.0025631566531956196
198,0.002568142721429467
199,0.0025898658204823732
200,0.002623015083372593
201,0.002522895345464349
202,0.002518290188163519
203,0.0023726068902760744
204,0.0024314315523952246
205,0.0024775592610239983
206,0.002635249635204673
207,0.0022880181204527617
208,0.0023527105804532766
209,0.0024193243589252234
210,0.0022701993584632874
211,0.00249699829146266
212,0.0024803841952234507
213,0.0025768885388970375
214,0.0022764087188988924
215,0.0024939437862485647
216,0.0022204644046723843
217,0.002339210594072938
218,0.002143586054444313
219,0.0024429084733128548
220,0.002402200596407056
221,0.0023524852003902197
222,0.00251357676461339
223,0.002275261329486966
224,0.0023639234714210033
225,0.0022677588276565075
226,0.0023116632364690304
227,0.00213454058393836
228,0.0022411944810301065
229,0.0022649250458925962
230,0.0021875938400626183
231,0.0021733483299613
232,0.002154082525521517
233,0.0021933496464043856
234,0.002251005731523037
235,0.002075469819828868
236,0.0022194974590092897
237,0.0022015064023435116
238,0.002221788512542844
239,0.002053444739431143
240,0.002243187977001071
241,0.0021040677092969418
242,0.0021157581359148026
243,0.0021126617211848497
244,0.002151796594262123
245,0.0021758261136710644
246,0.0021068165078759193
247,0.0022072414867579937
248,0.002057506702840328
249,0.0021486575715243816
