,loss
0,0.0021379070822149515
1,0.0020824375096708536
2,0.00213237595744431
3,0.0020941642578691244
4,0.0019996645860373974
5,0.0019691195338964462
6,0.0019622603431344032
7,0.0022162089589983225
8,0.00201825681142509
9,0.0020279530435800552
10,0.0019797661807388067
11,0.0018738930812105536
12,0.002056894591078162
13,0.002015138976275921
14,0.0020472188480198383
15,0.0020135571248829365
16,0.0020154316443949938
17,0.00196592858992517
18,0.0019512108992785215
19,0.0019036346348002553
20,0.0018755635246634483
21,0.002032025484368205
22,0.0020189820788800716
23,0.001994224963709712
24,0.001920637907460332
25,0.0019062354695051908
26,0.002079795813187957
27,0.0019433193374425173
28,0.0019345832988619804
29,0.0020100108813494444
30,0.001957337372004986
31,0.0018661248032003641
32,0.0018939240835607052
33,0.0019740157295018435
34,0.002021004678681493
35,0.0018849492771551013
36,0.001848927466198802
37,0.001919036847539246
38,0.0019114892929792404
39,0.0017723186174407601
40,0.002010342199355364
41,0.0019088474800810218
42,0.0018738997168838978
43,0.001909857732243836
44,0.0018693206366151571
45,0.002011131728067994
46,0.0017665582709014416
47,0.0018280030926689506
48,0.0017038113437592983
49,0.0018470684299245477
